"product_name","is_he","switch_type","layout","review"
"Cyber Striker Max",False,"Jade","75%","{""username"": ""AngryPanda149_f6f5"", ""review_details"": ""Noticeable case ping. Linear switches are great for gaming. The Jade switches are particularly good. The compact layout saves so much desk space. The 75% layout is interesting. It's decent, but keep your expectations in check.""}"
"Aura Spectre XT",1,"White",96,"{""username"": ""GeekyDev315_cc1b"", ""review_details"": ""Adjustable actuation points are incredibly useful. Took some time to get used to the layers. The 96 layout is interesting. Good for the price, but not perfect.""}"
"Lunar Drift Mini",0,"Red","60%","{""username"": ""WiredGamer88_fe85"", ""review_details"": ""Perfect tactility for typing. The Red switches are particularly good. Might work for some, but not for me. The plastic body feels a bit cheap.""}"
"Lunar Striker X",True,"Red","80%","{""username"": ""SilentGamer413_8a12"", ""review_details"": ""Very frustrating experience. Adjustable actuation points are incredibly useful. Really miss having a dedicated numpad. The 80% layout is interesting. Keypresses feel inconsistent. I chose the Red switches and I'm not impressed. Stabilizers rattle quite a bit, especially the spacebar. Regretting this buy.""}"
"Cyber Pulse SE",1,"Jade","Full","{""username"": ""CasualBear484_52e9"", ""review_details"": ""Good entry-level option maybe. Perfect balance between size and functionality. The Full layout is interesting. Using the Jade switches takes some getting used to. Noticeable case ping.""}"
"Aura Striker Pro","","White","100%","{""username"": ""SleepyGamer638_c88a"", ""review_details"": ""Having dedicated arrow keys is essential for me. The 100% layout is interesting. Would not recommend this keyboard. RGB lighting is dim. Keypresses feel inconsistent. I chose the White switches and I'm not impressed. Several issues right out of the box.""}"
"Giga Raptor X 582",1,"Silver",100,"{""username"": ""AngryGamer150_2ae9"", ""review_details"": ""Keycaps feel thin and collect fingerprints. It's an okay keyboard, does the job. Good entry-level option maybe. The compact layout saves so much desk space. The 100 layout is interesting. Low actuation force is comfortable. The Silver switches are particularly good.""}"
"Arctic Byte Mini","","Blue","Full","{""username"": ""CleverPanda666_364d"", ""review_details"": ""Consistent keypresses across the board. The Blue switches are particularly good. Stabilizers are surprisingly good, minimal rattle. Finally found my endgame keyboard. Took some time to get used to the layers. The Full layout is interesting.""}"
"Stellar Byte XT",True,"Blue","80%","{""username"": ""SleepyCat777_ccbb"", ""review_details"": ""Stabilizers rattle quite a bit, especially the spacebar. Too loud for an office environment. I chose the Blue switches and I'm not impressed. Adjustable actuation points are incredibly useful. Perfect balance between size and functionality. The 80% layout is interesting. One star. Not what I expected.""}"
"Lunar Phantom Elite","","Orange",65,"{""username"": ""AngryTypist889_650d"", ""review_details"": ""Standard layout makes finding keycaps easy. The 65 layout is interesting. Would not recommend this keyboard. Regretting this buy.""}"
"Hyper Phantom Pro","","Silent Black",75,"{""username"": ""ProFox450_050f"", ""review_details"": ""Good entry-level option maybe. Low actuation force is comfortable. The Silent Black switches are particularly good. Good for the price, but not perfect. The plastic body feels a bit cheap.""}"
"Giga Drift Air","","Clear",60,"{""username"": ""CleverWriter81_58d4"", ""review_details"": ""Solid build quality and performance. Heavy and sturdy, doesn't slide around. Really miss having a dedicated numpad. The 60 layout is interesting. Definitely worth the money.""}"
"Lunar Phantom Mini",False,"Silent Red",65,"{""username"": ""HappyBear335_517c"", ""review_details"": ""A joy to type on every day. Wouldn't hesitate to buy again. Heavy and sturdy, doesn't slide around. Really miss having a dedicated numpad. The 65 layout is interesting.""}"
"Lunar Spectre Lite",0,"Silver","75%","{""username"": ""CleverFox388_1857"", ""review_details"": ""The compact layout saves so much desk space. The 75% layout is interesting. Good for the price, but not perfect. Three stars - average. The aluminum case feels very premium. Consistent keypresses across the board. The Silver switches are particularly good.""}"
"Quantum Shift Mini",0,"Clear",96,"{""username"": ""CasualNinja123_3e1d"", ""review_details"": ""It's decent, but keep your expectations in check. Really miss having a dedicated numpad. The 96 layout is interesting. Stabilizers are surprisingly good, minimal rattle. The switches feel incredibly smooth. The Clear switches are particularly good. Good for the price, but not perfect.""}"
"Stealth Byte Omega","","Blue","Full","{""username"": ""SwiftBear161_1676"", ""review_details"": ""Mixed feelings about this one. Standard layout makes finding keycaps easy. The Full layout is interesting. Heavy and sturdy, doesn't slide around. Too loud for an office environment. I chose the Blue switches and I'm not impressed.""}"
"Stellar Striker Max 413",0,"Yellow","75%","{""username"": ""CasualFox682_449a"", ""review_details"": ""Mushy feeling, lacks crispness. I chose the Yellow switches and I'm not impressed. Feels cheap and unreliable. Really miss having a dedicated numpad. The 75% layout is interesting. Returning this immediately.""}"
"Shadow Phantom Omega",False,"White",60,"{""username"": ""SleepyPanda563_9a9a"", ""review_details"": ""The compact layout saves so much desk space. The 60 layout is interesting. Not what I expected. Non-detachable cable is inconvenient. Accidentally actuating keys too often. I chose the White switches and I'm not impressed. Save your money.""}"
"Hyper Striker Pro",1,"Blue",80,"{""username"": ""SwiftGamer856_2df1"", ""review_details"": ""My new daily driver. The switches feel incredibly smooth. The Blue switches are particularly good. RGB lighting is vibrant and customizable. Standard layout makes finding keycaps easy. The 80 layout is interesting. The smoothness of these magnetic switches is unparalleled. Finally found my endgame keyboard.""}"
"Stellar Byte Omega",True,"Navy","96%","{""username"": ""CleverPanda561_112e"", ""review_details"": ""Perfect balance between size and functionality. The 96% layout is interesting. The smoothness of these magnetic switches is unparalleled. Regretting this buy.""}"
"Nova Weaver Pro",False,"Brown","60%","{""username"": ""SleepyCoder329_b00f"", ""review_details"": ""Good for the price, but not perfect. It's decent, but keep your expectations in check. The aluminum case feels very premium. Took some time to get used to the layers. The 60% layout is interesting.""}"
"Cyber Raptor Pro 120","","Silver","60%","{""username"": ""SleepyCat792_44c5"", ""review_details"": ""Keycaps feel thin and collect fingerprints. Not what I expected. Really miss having a dedicated numpad. The 60% layout is interesting. Very frustrating experience. Accidentally actuating keys too often. I chose the Silver switches and I'm not impressed.""}"
"Quantum Striker XT",True,"Brown",60,"{""username"": ""SleepyCat362_1c6f"", ""review_details"": ""The plastic body feels a bit cheap. Rapid trigger feature works flawlessly. Satisfyingly clicky sound! The Brown switches are particularly good. Good for the price, but not perfect.""}"
"Hyper Byte V2",True,"Green",75,"{""username"": ""GeekyWriter452_71b2"", ""review_details"": ""Adjustable actuation points are incredibly useful. Really miss having a dedicated numpad. The 75 layout is interesting. Keypresses feel inconsistent. I chose the Green switches and I'm not impressed. Not what I expected.""}"
"Hyper Raptor Lite",1,"Silver",65,"{""username"": ""HappyWriter279_f3dc"", ""review_details"": ""A joy to type on every day. Highly recommend! Braided cable is a nice touch.""}"
"Aura Spectre Elite",True,"Black","60%","{""username"": ""CleverBear472_9f83"", ""review_details"": ""Three stars - average. Being able to customize the reset point is fantastic. Having dedicated arrow keys is essential for me. The 60% layout is interesting. Stabilizers are surprisingly good, minimal rattle. An average mechanical keyboard experience. Switches feel scratchy. I chose the Black switches and I'm not impressed.""}"
"Hyper Weaver Air","","White",100,"{""username"": ""CleverWriter333_2fe9"", ""review_details"": ""Perfect tactility for typing. The White switches are particularly good. Standard layout makes finding keycaps easy. The 100 layout is interesting. An average mechanical keyboard experience. Braided cable is a nice touch. Might work for some, but not for me.""}"
"Stellar Phantom SE",0,"Black","100%","{""username"": ""WiredGamer15_a5cc"", ""review_details"": ""RGB lighting is dim. Spring ping is quite noticeable. I chose the Black switches and I'm not impressed. Look elsewhere if you value quality.""}"
"Hyper Phantom Alpha",0,"Black",65,"{""username"": ""CasualCat648_bf9f"", ""review_details"": ""Having dedicated arrow keys is essential for me. The 65 layout is interesting. Feels cheap and unreliable. Keycaps feel thin and collect fingerprints.""}"
"Quantum Blaze SE",False,"Orange",80,"{""username"": ""HappyDev959_a04f"", ""review_details"": ""Mushy feeling, lacks crispness. I chose the Orange switches and I'm not impressed. Several issues right out of the box. The plastic body feels a bit cheap. Standard layout makes finding keycaps easy. The 80 layout is interesting. Save your money.""}"
"Mech Forge Elite 825","","Silent Red","Full","{""username"": ""SwiftNinja998_ac52"", ""review_details"": ""Standard layout makes finding keycaps easy. The Full layout is interesting. Returning this immediately. Several issues right out of the box. Switches feel scratchy. I chose the Silent Red switches and I'm not impressed. The plastic body feels a bit cheap.""}"
"Arctic Striker Max","","Black",60,"{""username"": ""SilentTypist805_9185"", ""review_details"": ""Keycaps have a nice texture. Having dedicated arrow keys is essential for me. The 60 layout is interesting. You get what you pay for.""}"
"Hyper Byte V2",1,"Orange","96%","{""username"": ""SleepyPanda202_40f4"", ""review_details"": ""Several issues right out of the box. Mushy feeling, lacks crispness. I chose the Orange switches and I'm not impressed. Very frustrating experience.""}"
"Stellar Byte SE",1,"Yellow","75%","{""username"": ""GeekyDev838_327c"", ""review_details"": ""Keypresses feel inconsistent. I chose the Yellow switches and I'm not impressed. The compact layout saves so much desk space. The 75% layout is interesting. Being able to customize the reset point is fantastic. Regretting this buy. One star. The plastic body feels a bit cheap.""}"
"Mech Raptor V2","","Clear",80,"{""username"": ""SleepyCat470_2197"", ""review_details"": ""Having dedicated arrow keys is essential for me. The 80 layout is interesting. The switches feel incredibly smooth. The Clear switches are particularly good. Keycaps have a nice texture. Incredible value for the price.""}"
"Arctic Drift SE",1,"Brown","80%","{""username"": ""CleverGamer655_ba0d"", ""review_details"": ""RGB lighting is vibrant and customizable. Highly recommend! The compact layout saves so much desk space. The 80% layout is interesting. Satisfyingly clicky sound! The Brown switches are particularly good. Exceeded my expectations!""}"
"Hyper Pulse Pro",1,"Silver","60%","{""username"": ""WiredNinja636_94c0"", ""review_details"": ""Perfect balance between size and functionality. The 60% layout is interesting. Not what I expected. One star. Noticeable case ping. Rapid trigger feature works flawlessly.""}"
"Cyber Spectre X",False,"Silent Black","80%","{""username"": ""HappyFox217_07e4"", ""review_details"": ""Save your money. Regretting this buy. Stabilizers rattle quite a bit, especially the spacebar. Accidentally actuating keys too often. I chose the Silent Black switches and I'm not impressed.""}"
"Stellar Core Pro",0,"Orange","100%","{""username"": ""SwiftNinja721_3ded"", ""review_details"": ""Having dedicated arrow keys is essential for me. The 100% layout is interesting. Stabilizers rattle quite a bit, especially the spacebar. Quite disappointed with this purchase.""}"
"Shadow Raptor X",False,"Green",60,"{""username"": ""SilentGamer440_3741"", ""review_details"": ""RGB lighting is vibrant and customizable. Perfect balance between size and functionality. The 60 layout is interesting. It's an okay keyboard, does the job. Three stars - average. Accidentally actuating keys too often. I chose the Green switches and I'm not impressed.""}"
"Giga Raptor XT","","Red","96%","{""username"": ""WiredCoder41_f3b1"", ""review_details"": ""Satisfyingly clicky sound! The Red switches are particularly good. Mixed feelings about this one. You get what you pay for. Heavy and sturdy, doesn't slide around.""}"
"Nova Drift Lite",True,"Blue","75%","{""username"": ""SilentPanda532_e495"", ""review_details"": ""Returning this immediately. Really miss having a dedicated numpad. The 75% layout is interesting. Quite disappointed with this purchase.""}"
"Giga Raptor Max 476",True,"Silver","100%","{""username"": ""WiredCoder108_bf94"", ""review_details"": ""Exceeded my expectations! Definitely worth the money. Heavy and sturdy, doesn't slide around. Took some time to get used to the layers. The 100% layout is interesting. Perfect tactility for typing. The Silver switches are particularly good. Rapid trigger feature works flawlessly.""}"
"Arctic Pulse Lite 194",True,"Red","96%","{""username"": ""CleverFox880_84f8"", ""review_details"": ""Being able to customize the reset point is fantastic. Would not recommend this keyboard. RGB lighting is dim. Spring ping is quite noticeable. I chose the Red switches and I'm not impressed. Quite disappointed with this purchase. Standard layout makes finding keycaps easy. The 96% layout is interesting.""}"
"Cyber Phantom Alpha","","Silent Red","75%","{""username"": ""CasualTypist500_66da"", ""review_details"": ""Perfect balance between size and functionality. The 75% layout is interesting. Not what I expected. Noticeable case ping.""}"
"Hyper Shift Air 388",False,"White",80,"{""username"": ""CleverTypist137_b414"", ""review_details"": ""Had high hopes, but it fell short. Mushy feeling, lacks crispness. I chose the White switches and I'm not impressed. Noticeable case ping.""}"
"Quantum Phantom Omega",False,"Blue",75,"{""username"": ""CasualTypist332_7b80"", ""review_details"": ""Exceeded my expectations! Highly recommend! Keycaps have a nice texture.""}"
"Cyber Spectre Mini",False,"Silent Red",96,"{""username"": ""HappyTypist802_5e95"", ""review_details"": ""Standard layout makes finding keycaps easy. The 96 layout is interesting. Returning this immediately. RGB lighting is dim.""}"
"Arctic Raptor SE",1,"Silent Red","TKL","{""username"": ""CleverDev816_ecb2"", ""review_details"": ""Keypresses feel inconsistent. I chose the Silent Red switches and I'm not impressed. Returning this immediately. RGB lighting is dim. Had high hopes, but it fell short. Really miss having a dedicated numpad. The TKL layout is interesting.""}"
"Arctic Shift Pro","","Silent Red","60%","{""username"": ""ProTypist77_e51b"", ""review_details"": ""You get what you pay for. It's an okay keyboard, does the job. Stabilizers rattle quite a bit, especially the spacebar. The compact layout saves so much desk space. The 60% layout is interesting.""}"
"Lunar Raptor Elite",True,"Silver",80,"{""username"": ""SilentBear391_4dcd"", ""review_details"": ""A joy to type on every day. The switches feel incredibly smooth. The Silver switches are particularly good. Adjustable actuation points are incredibly useful.""}"
"Cyber Weaver Max",1,"Silver","80%","{""username"": ""SilentCat473_b5aa"", ""review_details"": ""Not what I expected. Perfect balance between size and functionality. The 80% layout is interesting. Mushy feeling, lacks crispness. I chose the Silver switches and I'm not impressed.""}"
"Lunar Phantom XT 375",False,"White","65%","{""username"": ""AngryGamer392_8d28"", ""review_details"": ""The aluminum case feels very premium. Good for the price, but not perfect. The switches feel incredibly smooth. The White switches are particularly good. You get what you pay for. Perfect balance between size and functionality. The 65% layout is interesting.""}"
"Arctic Forge Elite",False,"Blue",75,"{""username"": ""SilentBear261_4462"", ""review_details"": ""Perfect tactility for typing. The Blue switches are particularly good. Finally found my endgame keyboard. Having dedicated arrow keys is essential for me. The 75 layout is interesting.""}"
"Hyper Phantom Max",0,"Silent Black","80%","{""username"": ""CasualWriter376_0fc3"", ""review_details"": ""You get what you pay for. Decent, but has its flaws. Using the Silent Black switches takes some getting used to. Heavy and sturdy, doesn't slide around.""}"
"Lunar Pulse Pro","","Jade","80%","{""username"": ""CleverPanda43_1250"", ""review_details"": ""Low actuation force is comfortable. The Jade switches are particularly good. Stabilizers are surprisingly good, minimal rattle. Definitely worth the money.""}"
"Aura Pulse Mini 895",1,"Yellow",75,"{""username"": ""HappyNinja47_5fa7"", ""review_details"": ""The compact layout saves so much desk space. The 75 layout is interesting. The switches feel incredibly smooth. The Yellow switches are particularly good. Wouldn't hesitate to buy again. Incredible value for the price.""}"
"Lunar Pulse Omega",False,"Green",80,"{""username"": ""AngryBear437_d6d3"", ""review_details"": ""RGB lighting is dim. Mushy feeling, lacks crispness. I chose the Green switches and I'm not impressed. Several issues right out of the box. Save your money. Took some time to get used to the layers. The 80 layout is interesting.""}"
"Stealth Shift Max","","Orange","75%","{""username"": ""SleepyNinja875_296f"", ""review_details"": ""Decent, but has its flaws. You get what you pay for. Linear switches are great for gaming. The Orange switches are particularly good.""}"
"Hyper Drift Lite",0,"Silver",80,"{""username"": ""AngryWriter317_67db"", ""review_details"": ""Returning this immediately. Non-detachable cable is inconvenient. Quite disappointed with this purchase.""}"
"Hyper Phantom Omega","","White",80,"{""username"": ""GeekyCoder690_c553"", ""review_details"": ""Consistent keypresses across the board. The White switches are particularly good. Having dedicated arrow keys is essential for me. The 80 layout is interesting. The plastic body feels a bit cheap. Good entry-level option maybe. It's an okay keyboard, does the job.""}"
"Quantum Drift Max",1,"Silver",75,"{""username"": ""SwiftBear749_37d3"", ""review_details"": ""Mushy feeling, lacks crispness. I chose the Silver switches and I'm not impressed. Keycaps feel thin and collect fingerprints. Very frustrating experience. Regretting this buy.""}"
"Quantum Spectre Max",True,"White",60,"{""username"": ""CleverBear43_b0d8"", ""review_details"": ""Mushy feeling, lacks crispness. I chose the White switches and I'm not impressed. Good for the price, but not perfect. It's decent, but keep your expectations in check.""}"
"Hyper Forge Mini","","Clear","80%","{""username"": ""GeekyCoder265_9fb2"", ""review_details"": ""You get what you pay for. An average mechanical keyboard experience. Consistent keypresses across the board. The Clear switches are particularly good.""}"
"Aura Spectre V2",True,"Yellow",96,"{""username"": ""CasualCat113_ff6c"", ""review_details"": ""An average mechanical keyboard experience. Standard layout makes finding keycaps easy. The 96 layout is interesting. RGB lighting is vibrant and customizable. Low actuation force is comfortable. The Yellow switches are particularly good. Being able to customize the reset point is fantastic.""}"
"Giga Forge X",0,"Silent Red","80%","{""username"": ""SwiftNinja509_5212"", ""review_details"": ""Highly recommend! Keycaps have a nice texture. Low actuation force is comfortable. The Silent Red switches are particularly good. Absolutely love this keyboard! Took some time to get used to the layers. The 80% layout is interesting.""}"
"Nova Spectre Lite",False,"Red",75,"{""username"": ""CleverPanda959_1b69"", ""review_details"": ""Took some time to get used to the layers. The 75 layout is interesting. Keypresses feel inconsistent. I chose the Red switches and I'm not impressed. Good entry-level option maybe. The aluminum case feels very premium.""}"
"Hyper Drift Air",False,"Brown",96,"{""username"": ""ProDev34_2a03"", ""review_details"": ""Really miss having a dedicated numpad. The 96 layout is interesting. Good entry-level option maybe. Using the Brown switches takes some getting used to. An average mechanical keyboard experience.""}"
"Shadow Pulse Alpha",0,"Black",65,"{""username"": ""SilentCoder783_0c46"", ""review_details"": ""Standard layout makes finding keycaps easy. The 65 layout is interesting. The switches feel incredibly smooth. The Black switches are particularly good. Definitely worth the money. Incredible value for the price. RGB lighting is vibrant and customizable.""}"
"Aura Forge X",1,"Red","60%","{""username"": ""GeekyDev586_ac6b"", ""review_details"": ""Had high hopes, but it fell short. Would not recommend this keyboard. The plastic body feels a bit cheap. Spring ping is quite noticeable. I chose the Red switches and I'm not impressed.""}"
"Nova Shift V2",0,"Green","TKL","{""username"": ""SleepyCoder686_7926"", ""review_details"": ""The compact layout saves so much desk space. The TKL layout is interesting. Low actuation force is comfortable. The Green switches are particularly good. Stabilizers are surprisingly good, minimal rattle. Absolutely love this keyboard! Five stars!""}"
"Nova Forge SE",True,"Silent Black",100,"{""username"": ""SilentPanda155_dfcc"", ""review_details"": ""Satisfyingly clicky sound! The Silent Black switches are particularly good. Standard layout makes finding keycaps easy. The 100 layout is interesting. Solid build quality and performance.""}"
"Nova Raptor XT",False,"Silver","80%","{""username"": ""CasualBear641_c000"", ""review_details"": ""Three stars - average. Noticeable case ping. An average mechanical keyboard experience. Using the Silver switches takes some getting used to.""}"
"Mech Spectre X",1,"Orange","75%","{""username"": ""HappyWriter512_83dd"", ""review_details"": ""Mushy feeling, lacks crispness. I chose the Orange switches and I'm not impressed. Noticeable case ping. Not what I expected. The Hall Effect switches are game-changing for competitive gaming.""}"
"Cyber Spectre X",True,"Yellow","80%","{""username"": ""AngryWriter386_d0c9"", ""review_details"": ""Definitely worth the money. Consistent keypresses across the board. The Yellow switches are particularly good. Braided cable is a nice touch.""}"
"Stealth Raptor SE","","Red","96%","{""username"": ""SilentPanda689_3994"", ""review_details"": ""Incredible value for the price. Highly recommend! Consistent keypresses across the board. The Red switches are particularly good.""}"
"Mech Weaver Pro",False,"Green","Full","{""username"": ""AngryDev545_a677"", ""review_details"": ""Keypresses feel inconsistent. I chose the Green switches and I'm not impressed. Really miss having a dedicated numpad. The Full layout is interesting. Regretting this buy. Non-detachable cable is inconvenient.""}"
"Giga Spectre X 152",True,"Jade","80%","{""username"": ""AngryNinja825_d107"", ""review_details"": ""Noticeable case ping. Not what I expected. One star. Standard layout makes finding keycaps easy. The 80% layout is interesting. Too loud for an office environment. I chose the Jade switches and I'm not impressed.""}"
"Stealth Weaver Lite 281","","Silver","Full","{""username"": ""CleverCoder161_6649"", ""review_details"": ""Would not recommend this keyboard. RGB lighting is dim. Standard layout makes finding keycaps easy. The Full layout is interesting.""}"
"Lunar Phantom SE",0,"Green",80,"{""username"": ""SilentFox316_e8a9"", ""review_details"": ""Perfect balance between size and functionality. The 80 layout is interesting. Noticeable case ping. Several issues right out of the box.""}"
"Cyber Blaze Alpha","","Green",60,"{""username"": ""ProTypist195_ac96"", ""review_details"": ""Very frustrating experience. Noticeable case ping. The compact layout saves so much desk space. The 60 layout is interesting. Quite disappointed with this purchase. Accidentally actuating keys too often. I chose the Green switches and I'm not impressed.""}"
"Quantum Core Pro",1,"Clear",100,"{""username"": ""SleepyGamer64_d9ec"", ""review_details"": ""Consistent keypresses across the board. The Clear switches are particularly good. Definitely worth the money. Braided cable is a nice touch. The smoothness of these magnetic switches is unparalleled. The compact layout saves so much desk space. The 100 layout is interesting.""}"
"Arctic Phantom Elite 805",False,"Silent Red",96,"{""username"": ""WiredFox782_684f"", ""review_details"": ""My new daily driver. Took some time to get used to the layers. The 96 layout is interesting. Keycaps have a nice texture.""}"
"Quantum Raptor Air 213",True,"Blue",100,"{""username"": ""WiredBear38_d71c"", ""review_details"": ""Standard layout makes finding keycaps easy. The 100 layout is interesting. The Hall Effect switches are game-changing for competitive gaming. Would not recommend this keyboard. Feels cheap and unreliable. Accidentally actuating keys too often. I chose the Blue switches and I'm not impressed. The plastic body feels a bit cheap.""}"
"Arctic Striker V2","","White",100,"{""username"": ""SleepyDev319_5e48"", ""review_details"": ""Switches feel scratchy. I chose the White switches and I'm not impressed. Look elsewhere if you value quality. The plastic body feels a bit cheap.""}"
"Nova Weaver Lite",1,"Silent Red","80%","{""username"": ""SleepyDev80_3d9c"", ""review_details"": ""Adjustable actuation points are incredibly useful. Took some time to get used to the layers. The 80% layout is interesting. Feels cheap and unreliable.""}"
"Quantum Drift Pro","","Brown",100,"{""username"": ""ProPanda739_c075"", ""review_details"": ""Really miss having a dedicated numpad. The 100 layout is interesting. Stabilizers rattle quite a bit, especially the spacebar. Regretting this buy. Too loud for an office environment. I chose the Brown switches and I'm not impressed. One star.""}"
"Nova Shift Air","","Navy",96,"{""username"": ""WiredFox518_cf78"", ""review_details"": ""My new daily driver. Perfect tactility for typing. The Navy switches are particularly good. Stabilizers are surprisingly good, minimal rattle. Standard layout makes finding keycaps easy. The 96 layout is interesting.""}"
"Lunar Phantom Lite 680",False,"Blue",65,"{""username"": ""SwiftBear128_b270"", ""review_details"": ""Incredible value for the price. Stabilizers are surprisingly good, minimal rattle. Wouldn't hesitate to buy again. Having dedicated arrow keys is essential for me. The 65 layout is interesting. Consistent keypresses across the board. The Blue switches are particularly good.""}"
"Giga Byte SE",0,"Green",60,"{""username"": ""HappyWriter804_0bd6"", ""review_details"": ""Save your money. Took some time to get used to the layers. The 60 layout is interesting. The plastic body feels a bit cheap. Several issues right out of the box. Switches feel scratchy. I chose the Green switches and I'm not impressed.""}"
"Cyber Forge Max","","Silver","65%","{""username"": ""AngryCoder796_76a8"", ""review_details"": ""Good for the price, but not perfect. Three stars - average. Perfect balance between size and functionality. The 65% layout is interesting.""}"
"Mech Shift Elite",True,"Red",96,"{""username"": ""AngryGamer258_b93d"", ""review_details"": ""Look elsewhere if you value quality. Really miss having a dedicated numpad. The 96 layout is interesting. Mushy feeling, lacks crispness. I chose the Red switches and I'm not impressed.""}"
"Giga Drift Air",0,"Silent Black","96%","{""username"": ""WiredNinja176_88ea"", ""review_details"": ""Might work for some, but not for me. Accidentally actuating keys too often. I chose the Silent Black switches and I'm not impressed. The compact layout saves so much desk space. The 96% layout is interesting.""}"
"Aura Core Max",0,"Black","96%","{""username"": ""WiredBear264_c88d"", ""review_details"": ""Keycaps have a nice texture. The compact layout saves so much desk space. The 96% layout is interesting. A joy to type on every day. Highly recommend! Consistent keypresses across the board. The Black switches are particularly good.""}"
"Quantum Core Air",True,"Yellow","TKL","{""username"": ""GeekyGamer363_71d5"", ""review_details"": ""Too loud for an office environment. I chose the Yellow switches and I'm not impressed. Really miss having a dedicated numpad. The TKL layout is interesting. Noticeable case ping. Save your money. Several issues right out of the box.""}"
"Lunar Forge Max",False,"Red",60,"{""username"": ""AngryDev579_4fbe"", ""review_details"": ""Accidentally actuating keys too often. I chose the Red switches and I'm not impressed. Not what I expected. Really miss having a dedicated numpad. The 60 layout is interesting. Stabilizers rattle quite a bit, especially the spacebar.""}"
"Stealth Byte Air",False,"Clear",96,"{""username"": ""HappyFox229_8391"", ""review_details"": ""Having dedicated arrow keys is essential for me. The 96 layout is interesting. Satisfyingly clicky sound! The Clear switches are particularly good. Good for the price, but not perfect.""}"
"Arctic Weaver XT",True,"Green","60%","{""username"": ""HappyNinja307_07d3"", ""review_details"": ""Standard layout makes finding keycaps easy. The 60% layout is interesting. Decent, but has its flaws. Good entry-level option maybe. Perfect tactility for typing. The Green switches are particularly good.""}"
"Aura Core Alpha","","Jade","75%","{""username"": ""HappyDev327_f94a"", ""review_details"": ""Took some time to get used to the layers. The 75% layout is interesting. Spring ping is quite noticeable. I chose the Jade switches and I'm not impressed. Several issues right out of the box. Returning this immediately.""}"
"Lunar Blaze SE 548",True,"Silent Red",75,"{""username"": ""SwiftPanda853_7377"", ""review_details"": ""Having dedicated arrow keys is essential for me. The 75 layout is interesting. The aluminum case feels very premium. The Hall Effect switches are game-changing for competitive gaming. My new daily driver. Satisfyingly clicky sound! The Silent Red switches are particularly good.""}"
"Quantum Forge Alpha",0,"Silver","65%","{""username"": ""WiredDev954_e8c2"", ""review_details"": ""Feels cheap and unreliable. Keypresses feel inconsistent. I chose the Silver switches and I'm not impressed. Non-detachable cable is inconvenient. One star. Perfect balance between size and functionality. The 65% layout is interesting.""}"
"Stealth Drift V2",0,"Orange","TKL","{""username"": ""SilentNinja291_aae6"", ""review_details"": ""Using the Orange switches takes some getting used to. Perfect balance between size and functionality. The TKL layout is interesting. An average mechanical keyboard experience.""}"
"Arctic Drift Mini",True,"Brown","Full","{""username"": ""CasualTypist623_0cee"", ""review_details"": ""Stabilizers rattle quite a bit, especially the spacebar. Perfect balance between size and functionality. The Full layout is interesting. Several issues right out of the box. Keypresses feel inconsistent. I chose the Brown switches and I'm not impressed. Returning this immediately.""}"
"Giga Spectre Pro",True,"Silent Red",100,"{""username"": ""CleverCoder118_5bb0"", ""review_details"": ""Having dedicated arrow keys is essential for me. The 100 layout is interesting. Rapid trigger feature works flawlessly. Linear switches are great for gaming. The Silent Red switches are particularly good.""}"
"Cyber Shift X",True,"Clear","96%","{""username"": ""SilentNinja797_4136"", ""review_details"": ""Consistent keypresses across the board. The Clear switches are particularly good. RGB lighting is vibrant and customizable. Five stars! The compact layout saves so much desk space. The 96% layout is interesting. Exceeded my expectations!""}"
"Shadow Drift SE 772","","Red","TKL","{""username"": ""ProNinja114_1004"", ""review_details"": ""Linear switches are great for gaming. The Red switches are particularly good. Incredible value for the price. The aluminum case feels very premium. Perfect balance between size and functionality. The TKL layout is interesting.""}"
"Arctic Phantom Pro",True,"Jade",96,"{""username"": ""HappyCat704_2b5d"", ""review_details"": ""Heavy and sturdy, doesn't slide around. Took some time to get used to the layers. The 96 layout is interesting. The switches feel incredibly smooth. The Jade switches are particularly good. Absolutely love this keyboard!""}"
"Arctic Byte Elite","","Jade",75,"{""username"": ""SilentPanda407_e647"", ""review_details"": ""Perfect tactility for typing. The Jade switches are particularly good. Keycaps have a nice texture. My new daily driver. Finally found my endgame keyboard.""}"
"Mech Phantom Lite",False,"Black",75,"{""username"": ""SleepyCoder279_bab8"", ""review_details"": ""It's decent, but keep your expectations in check. The compact layout saves so much desk space. The 75 layout is interesting. Mixed feelings about this one. Using the Black switches takes some getting used to.""}"
"Hyper Blaze XT",False,"Green","96%","{""username"": ""SwiftPanda851_bb78"", ""review_details"": ""Linear switches are great for gaming. The Green switches are particularly good. Highly recommend! Braided cable is a nice touch. Perfect balance between size and functionality. The 96% layout is interesting. A joy to type on every day.""}"
"Hyper Shift Mini",True,"Black","60%","{""username"": ""CasualFox910_0e78"", ""review_details"": ""Really miss having a dedicated numpad. The 60% layout is interesting. Accidentally actuating keys too often. I chose the Black switches and I'm not impressed. Adjustable actuation points are incredibly useful. Several issues right out of the box. Very frustrating experience.""}"
